Current frame at 178 Truck time since update: 0, is_confirmed: True
Current frame at 179 Truck time since update: 0, is_confirmed: True
Current frame at 180 Truck time since update: 0, is_confirmed: True
Current frame at 181 Truck time since update: 0, is_confirmed: True
Current frame at 182 Truck time since update: 0, is_confirmed: True
Current frame at 183 Truck time since update: 0, is_confirmed: True
Current frame at 184 Truck time since update: 0, is_confirmed: True
Current frame at 185 Truck time since update: 0, is_confirmed: True
Current frame at 186 Truck time since update: 0, is_confirmed: True
Current frame at 187 Truck time since update: 0, is_confirmed: True
Current frame at 188 Truck time since update: 0, is_confirmed: True
Current frame at 189 Truck time since update: 0, is_confirmed: True
Current frame at 190 Truck time since update: 0, is_confirmed: True
Current frame at 191 Truck time since update: 0, is_confirmed: True
Current frame at 192 Truck time since update: 0, is_confirmed: True
Current frame at 193 Truck time since update: 0, is_confirmed: True
Current frame at 194 Truck time since update: 0, is_confirmed: True
Current frame at 195 Truck time since update: 0, is_confirmed: True
Current frame at 196 Truck time since update: 0, is_confirmed: True
Current frame at 197 Truck time since update: 0, is_confirmed: True
Current frame at 198 Truck time since update: 0, is_confirmed: True
Current frame at 199 Truck time since update: 0, is_confirmed: True
Current frame at 200 Truck time since update: 0, is_confirmed: True
Current frame at 201 Truck time since update: 0, is_confirmed: True
Current frame at 202 Truck time since update: 1, is_confirmed: True
Current frame at 203 Truck time since update: 2, is_confirmed: True
Current frame at 204 Truck time since update: 0, is_confirmed: True
Current frame at 205 Truck time since update: 0, is_confirmed: True
Current frame at 206 Truck time since update: 1, is_confirmed: True
Current frame at 207 Truck time since update: 0, is_confirmed: True
Current frame at 208 Truck time since update: 0, is_confirmed: True
Current frame at 209 Truck time since update: 0, is_confirmed: True
Current frame at 210 Truck time since update: 0, is_confirmed: True
Current frame at 211 Truck time since update: 0, is_confirmed: True
Current frame at 212 Truck time since update: 0, is_confirmed: True
Current frame at 213 Truck time since update: 0, is_confirmed: True
Current frame at 214 Truck time since update: 0, is_confirmed: True
Current frame at 215 Truck time since update: 0, is_confirmed: True
Current frame at 216 Truck time since update: 0, is_confirmed: True
Current frame at 217 Truck time since update: 0, is_confirmed: True
Current frame at 218 Truck time since update: 0, is_confirmed: True
Current frame at 219 Truck time since update: 0, is_confirmed: True
Current frame at 220 Truck time since update: 0, is_confirmed: True
Current frame at 221 Truck time since update: 0, is_confirmed: True
Current frame at 222 Truck time since update: 0, is_confirmed: True
Current frame at 223 Truck time since update: 0, is_confirmed: True
Current frame at 224 Truck time since update: 0, is_confirmed: True
Current frame at 225 Truck time since update: 0, is_confirmed: True
Current frame at 226 Truck time since update: 0, is_confirmed: True
Current frame at 227 Truck time since update: 0, is_confirmed: True
Current frame at 228 Truck time since update: 0, is_confirmed: True
Current frame at 229 Truck time since update: 0, is_confirmed: True
Current frame at 230 Truck time since update: 0, is_confirmed: True
Current frame at 231 Truck time since update: 0, is_confirmed: True
Current frame at 232 Truck time since update: 0, is_confirmed: True
Current frame at 233 Truck time since update: 0, is_confirmed: True
Current frame at 234 Truck time since update: 0, is_confirmed: True
Current frame at 235 Truck time since update: 0, is_confirmed: True
Current frame at 236 Truck time since update: 0, is_confirmed: True
Current frame at 237 Truck time since update: 0, is_confirmed: True
Current frame at 238 Truck time since update: 0, is_confirmed: True
Current frame at 239 Truck time since update: 0, is_confirmed: True
Current frame at 240 Truck time since update: 0, is_confirmed: True
Current frame at 241 Truck time since update: 0, is_confirmed: True
Current frame at 242 Truck time since update: 0, is_confirmed: True
Current frame at 243 Truck time since update: 0, is_confirmed: True
Current frame at 244 Truck time since update: 1, is_confirmed: True
Current frame at 245 Truck time since update: 2, is_confirmed: True
Current frame at 246 Truck time since update: 3, is_confirmed: True
Current frame at 247 Truck time since update: 4, is_confirmed: True
Current frame at 248 Truck time since update: 5, is_confirmed: True
Current frame at 249 Truck time since update: 6, is_confirmed: True
Current frame at 250 Truck time since update: 7, is_confirmed: True
Current frame at 251 Truck time since update: 8, is_confirmed: True
Current frame at 252 Truck time since update: 9, is_confirmed: True
Current frame at 253 Truck time since update: 10, is_confirmed: True
Current frame at 254 Truck time since update: 11, is_confirmed: True
Current frame at 255 Truck time since update: 12, is_confirmed: True
Current frame at 256 Truck time since update: 13, is_confirmed: True
Current frame at 257 Truck time since update: 14, is_confirmed: True
Current frame at 258 Truck time since update: 15, is_confirmed: True
Current frame at 259 Truck time since update: 16, is_confirmed: True
Current frame at 260 Truck time since update: 17, is_confirmed: True
Current frame at 261 Truck time since update: 18, is_confirmed: True
Current frame at 262 Truck time since update: 19, is_confirmed: True
Current frame at 263 Truck time since update: 20, is_confirmed: True
Current frame at 264 Truck time since update: 21, is_confirmed: True
Current frame at 265 Truck time since update: 22, is_confirmed: True
Current frame at 266 Truck time since update: 23, is_confirmed: True
Current frame at 267 Truck time since update: 24, is_confirmed: True
Current frame at 268 Truck time since update: 25, is_confirmed: True
Current frame at 269 Truck time since update: 26, is_confirmed: True
Current frame at 270 Truck time since update: 27, is_confirmed: True
